state,yearqtr,market_share
WV,"2001, 2",0.52714
WV,"2001, 3",0.49988
WV,"2001, 4",0.49205
WV,"2002, 1",0.49713
WV,"2002, 2",0.49724
WV,"2002, 3",0.49729
WV,"2002, 4",0.49972
WV,"2003, 1",0.50085
WV,"2003, 2",0.46391
WV,"2003, 3",0.4343
WV,"2003, 4",0.42327
WV,"2004, 1",0.41887
WV,"2004, 2",0.38585
WV,"2004, 3",0.36963
WV,"2004, 4",0.3565
WV,"2005, 1",0.33753
WV,"2005, 2",0.31054
WV,"2005, 3",0.30456
WV,"2005, 4",0.28855
Control,"2001, 2",0.48893
Control,"2001, 3",0.47956
Control,"2001, 4",0.47722
Control,"2002, 1",0.48834
Control,"2002, 2",0.47811
Control,"2002, 3",0.47284
Control,"2002, 4",0.47466
Control,"2003, 1",0.47867
Control,"2003, 2",0.47851
Control,"2003, 3",0.48252
Control,"2003, 4",0.49165
Control,"2004, 1",0.49599
Control,"2004, 2",0.48444
Control,"2004, 3",0.47741
Control,"2004, 4",0.47537
Control,"2005, 1",0.46563
Control,"2005, 2",0.45466
Control,"2005, 3",0.45886
Control,"2005, 4",0.45484
